song_name,album_cn,album_en,track_number,release_date,composer,lyricist,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,loudness,key,duration_ms,popularity,mode,play_count_est,tags,has_lyrics,album_cover_url
爱在西元前,范特西,Fantasy,1,2001-09-01,周杰伦,方文山,0.65,0.6,0.5,82,0.4,0.001,0.05,-6.8,8,235000,75,1,140625000,R&B,yes,https://upload.wikimedia.org/wikipedia/en/1/19/Jay_Chou_-_Fantasy_album_cover.jpg
爸我回来了,范特西,Fantasy,2,2001-09-01,周杰伦,周杰伦,0.5,0.55,0.3,76,0.55,0.002,0.04,-7.5,2,255000,58,0,103820000,其他,yes,https://upload.wikimedia.org/wikipedia/en/1/19/Jay_Chou_-_Fantasy_album_cover.jpg
简单爱,范特西,Fantasy,3,2001-09-01,周杰伦,徐若瑄,0.62,0.58,0.65,82,0.45,0.001,0.03,-7.0,0,260000,82,1,156620000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/1/19/Jay_Chou_-_Fantasy_album_cover.jpg
忍者,范特西,Fantasy,4,2001-09-01,周杰伦,方文山,0.72,0.8,0.5,100,0.15,0.01,0.25,-4.5,9,170000,65,1,118625000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/1/19/Jay_Chou_-_Fantasy_album_cover.jpg
开不了口,范特西,Fantasy,5,2001-09-01,周杰伦,徐若瑄,0.5,0.52,0.3,78,0.55,0.001,0.04,-7.8,4,290000,72,0,133920000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/1/19/Jay_Chou_-_Fantasy_album_cover.jpg
上海一九四三,范特西,Fantasy,6,2001-09-01,周杰伦,方文山,0.48,0.42,0.35,76,0.7,0.002,0.03,-8.5,7,240000,62,1,112220000,中国风,yes,https://upload.wikimedia.org/wikipedia/en/1/19/Jay_Chou_-_Fantasy_album_cover.jpg
对不起,范特西,Fantasy,7,2001-09-01,周杰伦,方文山,0.55,0.5,0.3,80,0.55,0.001,0.04,-7.2,5,280000,55,1,97625000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/1/19/Jay_Chou_-_Fantasy_album_cover.jpg
威廉古堡,范特西,Fantasy,8,2001-09-01,周杰伦,方文山,0.6,0.65,0.4,88,0.35,0.05,0.1,-6.0,3,280000,52,0,91520000,其他,yes,https://upload.wikimedia.org/wikipedia/en/1/19/Jay_Chou_-_Fantasy_album_cover.jpg
双截棍,范特西,Fantasy,9,2001-09-01,周杰伦,方文山,0.78,0.85,0.6,106,0.1,0.005,0.3,-3.5,1,190000,85,1,163625000,中国风|HipHop,yes,https://upload.wikimedia.org/wikipedia/en/1/19/Jay_Chou_-_Fantasy_album_cover.jpg
安静,范特西,Fantasy,10,2001-09-01,周杰伦,周杰伦,0.38,0.4,0.2,68,0.75,0.001,0.02,-9.0,0,280000,80,0,152000000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/1/19/Jay_Chou_-_Fantasy_album_cover.jpg
半兽人,八度空间,The Eight Dimensions,1,2002-07-01,周杰伦,方文山,0.7,0.82,0.45,96,0.12,0.015,0.18,-4.2,8,253000,58,1,103820000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/0/03/Jay_Chou_-_The_Eight_Dimensions_album_cover.jpg
半岛铁盒,八度空间,The Eight Dimensions,2,2002-07-01,周杰伦,周杰伦,0.52,0.48,0.4,76,0.6,0.002,0.04,-7.8,3,300000,68,0,125120000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/0/03/Jay_Chou_-_The_Eight_Dimensions_album_cover.jpg
暗号,八度空间,The Eight Dimensions,3,2002-07-01,周杰伦,许世昌,0.55,0.58,0.45,82,0.5,0.001,0.04,-7.0,5,290000,62,1,112220000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/0/03/Jay_Chou_-_The_Eight_Dimensions_album_cover.jpg
龙拳,八度空间,The Eight Dimensions,4,2002-07-01,周杰伦,方文山,0.75,0.83,0.55,100,0.1,0.005,0.25,-4.0,1,278000,72,1,133920000,中国风|HipHop,yes,https://upload.wikimedia.org/wikipedia/en/0/03/Jay_Chou_-_The_Eight_Dimensions_album_cover.jpg
火车叨位去,八度空间,The Eight Dimensions,5,2002-07-01,周杰伦,方文山,0.5,0.48,0.35,74,0.65,0.002,0.03,-8.0,6,265000,45,0,77625000,其他,yes,https://upload.wikimedia.org/wikipedia/en/0/03/Jay_Chou_-_The_Eight_Dimensions_album_cover.jpg
分裂,八度空间,The Eight Dimensions,6,2002-07-01,周杰伦,周杰伦,0.45,0.45,0.25,72,0.65,0.001,0.03,-8.5,2,280000,50,0,87500000,R&B,yes,https://upload.wikimedia.org/wikipedia/en/0/03/Jay_Chou_-_The_Eight_Dimensions_album_cover.jpg
爷爷泡的茶,八度空间,The Eight Dimensions,7,2002-07-01,周杰伦,方文山,0.6,0.55,0.55,84,0.5,0.002,0.05,-7.2,0,250000,65,1,118625000,中国风,yes,https://upload.wikimedia.org/wikipedia/en/0/03/Jay_Chou_-_The_Eight_Dimensions_album_cover.jpg
回到过去,八度空间,The Eight Dimensions,8,2002-07-01,周杰伦,刘畊宏,0.5,0.48,0.3,76,0.6,0.001,0.03,-7.8,4,290000,60,1,108000000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/0/03/Jay_Chou_-_The_Eight_Dimensions_album_cover.jpg
米兰的小铁匠,八度空间,The Eight Dimensions,9,2002-07-01,周杰伦,方文山,0.62,0.65,0.5,90,0.3,0.01,0.08,-6.0,7,275000,48,1,83520000,其他,yes,https://upload.wikimedia.org/wikipedia/en/0/03/Jay_Chou_-_The_Eight_Dimensions_album_cover.jpg
最后的战役,八度空间,The Eight Dimensions,10,2002-07-01,周杰伦,方文山,0.48,0.62,0.2,78,0.5,0.005,0.05,-7.5,3,265000,62,0,112220000,其他,yes,https://upload.wikimedia.org/wikipedia/en/0/03/Jay_Chou_-_The_Eight_Dimensions_album_cover.jpg
以父之名,叶惠美,Ye Huimei,1,2003-07-31,周杰伦,黄俊郎,0.65,0.75,0.3,84,0.25,0.03,0.12,-5.5,6,335000,75,0,140625000,古典,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Ye_Hui_Mei_album_cover.jpg
懦夫,叶惠美,Ye Huimei,2,2003-07-31,周杰伦,周杰伦,0.7,0.8,0.4,98,0.15,0.01,0.2,-4.5,9,200000,48,1,83520000,摇滚,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Ye_Hui_Mei_album_cover.jpg
晴天,叶惠美,Ye Huimei,3,2003-07-31,周杰伦,周杰伦,0.52,0.55,0.5,78,0.55,0.001,0.03,-7.2,0,270000,88,1,170720000,情歌|R&B|校园,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Ye_Hui_Mei_album_cover.jpg
三年二班,叶惠美,Ye Huimei,4,2003-07-31,周杰伦,方文山,0.58,0.6,0.35,82,0.42,0.005,0.06,-6.8,2,290000,62,1,112220000,校园,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Ye_Hui_Mei_album_cover.jpg
东风破,叶惠美,Ye Huimei,5,2003-07-31,周杰伦,方文山,0.48,0.42,0.35,76,0.75,0.002,0.02,-8.5,5,320000,82,0,156620000,中国风,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Ye_Hui_Mei_album_cover.jpg
你听得到,叶惠美,Ye Huimei,6,2003-07-31,周杰伦,曾郁婷,0.55,0.52,0.45,80,0.55,0.001,0.04,-7.5,1,250000,58,1,103820000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Ye_Hui_Mei_album_cover.jpg
同一种调调,叶惠美,Ye Huimei,7,2003-07-31,周杰伦,方文山,0.6,0.58,0.4,85,0.4,0.01,0.08,-6.5,4,275000,50,1,87500000,其他,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Ye_Hui_Mei_album_cover.jpg
她的睫毛,叶惠美,Ye Huimei,8,2003-07-31,周杰伦,方文山,0.65,0.68,0.55,92,0.35,0.002,0.05,-6.0,7,270000,55,1,97625000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Ye_Hui_Mei_album_cover.jpg
爱情悬崖,叶惠美,Ye Huimei,9,2003-07-31,周杰伦,徐若瑄,0.42,0.5,0.25,72,0.6,0.001,0.03,-8.0,3,290000,52,0,91520000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Ye_Hui_Mei_album_cover.jpg
梯田,叶惠美,Ye Huimei,10,2003-07-31,周杰伦,周杰伦,0.48,0.45,0.3,74,0.65,0.003,0.04,-8.2,9,240000,45,0,77625000,其他,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Ye_Hui_Mei_album_cover.jpg
双刀,叶惠美,Ye Huimei,11,2003-07-31,周杰伦,方文山,0.72,0.82,0.45,98,0.12,0.02,0.22,-4.0,5,270000,58,1,103820000,中国风|HipHop|摇滚,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Ye_Hui_Mei_album_cover.jpg
我的地盘,七里香,Common Jasmine Orange,1,2004-08-03,周杰伦,方文山,0.68,0.72,0.55,94,0.25,0.005,0.15,-5.5,1,240000,60,1,108000000,HipHop|校园,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Common_Jasmine_Orange_album_cover.jpg
七里香,七里香,Common Jasmine Orange,2,2004-08-03,周杰伦,方文山,0.55,0.52,0.55,78,0.55,0.001,0.03,-7.0,0,300000,85,1,163625000,中国风,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Common_Jasmine_Orange_album_cover.jpg
借口,七里香,Common Jasmine Orange,3,2004-08-03,周杰伦,周杰伦,0.45,0.48,0.25,72,0.65,0.001,0.03,-8.2,4,280000,72,0,133920000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Common_Jasmine_Orange_album_cover.jpg
外婆,七里香,Common Jasmine Orange,4,2004-08-03,周杰伦,周杰伦,0.5,0.5,0.35,78,0.55,0.002,0.04,-7.5,2,260000,55,1,97625000,其他,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Common_Jasmine_Orange_album_cover.jpg
将军,七里香,Common Jasmine Orange,5,2004-08-03,周杰伦,黄俊郎,0.72,0.75,0.55,96,0.2,0.01,0.2,-5.0,7,255000,58,1,103820000,中国风|HipHop,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Common_Jasmine_Orange_album_cover.jpg
搁浅,七里香,Common Jasmine Orange,6,2004-08-03,周杰伦,宋健彰,0.42,0.52,0.2,70,0.6,0.001,0.03,-8.5,5,285000,75,0,140625000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Common_Jasmine_Orange_album_cover.jpg
乱舞春秋,七里香,Common Jasmine Orange,7,2004-08-03,周杰伦,方文山,0.75,0.8,0.55,102,0.15,0.015,0.25,-4.0,9,320000,60,1,108000000,中国风|HipHop,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Common_Jasmine_Orange_album_cover.jpg
困兽之斗,七里香,Common Jasmine Orange,8,2004-08-03,周杰伦,刘畊宏,0.65,0.78,0.35,92,0.2,0.005,0.1,-5.0,3,290000,48,0,83520000,摇滚,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Common_Jasmine_Orange_album_cover.jpg
园游会,七里香,Common Jasmine Orange,9,2004-08-03,周杰伦,方文山,0.58,0.55,0.6,82,0.5,0.001,0.03,-7.0,0,250000,65,1,118625000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Common_Jasmine_Orange_album_cover.jpg
止战之殇,七里香,Common Jasmine Orange,10,2004-08-03,周杰伦,方文山,0.48,0.45,0.25,76,0.6,0.002,0.04,-8.0,6,280000,58,0,103820000,其他,yes,https://upload.wikimedia.org/wikipedia/en/8/8a/Jay_Chou_-_Common_Jasmine_Orange_album_cover.jpg
夜曲,11月的萧邦,November's Chopin,1,2005-11-01,周杰伦,方文山,0.55,0.5,0.25,80,0.55,0.003,0.05,-7.5,2,225000,82,0,156620000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/0/0b/Jay_Chou_-_November%27s_Chopin_album_cover.jpg
蓝色风暴,11月的萧邦,November's Chopin,2,2005-11-01,周杰伦,方文山,0.68,0.78,0.45,96,0.15,0.01,0.18,-4.5,7,290000,50,1,87500000,HipHop|摇滚,yes,https://upload.wikimedia.org/wikipedia/en/0/0b/Jay_Chou_-_November%27s_Chopin_album_cover.jpg
发如雪,11月的萧邦,November's Chopin,3,2005-11-01,周杰伦,方文山,0.45,0.42,0.3,72,0.75,0.001,0.02,-8.8,5,320000,78,0,147420000,中国风,yes,https://upload.wikimedia.org/wikipedia/en/0/0b/Jay_Chou_-_November%27s_Chopin_album_cover.jpg
黑色毛衣,11月的萧邦,November's Chopin,4,2005-11-01,周杰伦,周杰伦,0.48,0.48,0.3,76,0.62,0.002,0.03,-8.0,3,285000,72,0,133920000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/0/0b/Jay_Chou_-_November%27s_Chopin_album_cover.jpg
四面楚歌,11月的萧邦,November's Chopin,5,2005-11-01,周杰伦,周杰伦,0.75,0.8,0.5,100,0.1,0.005,0.3,-3.8,8,240000,65,1,118625000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/0/0b/Jay_Chou_-_November%27s_Chopin_album_cover.jpg
枫,11月的萧邦,November's Chopin,6,2005-11-01,周杰伦,宋健彰,0.4,0.5,0.2,68,0.65,0.001,0.03,-8.5,4,300000,68,0,125120000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/0/0b/Jay_Chou_-_November%27s_Chopin_album_cover.jpg
浪漫手机,11月的萧邦,November's Chopin,7,2005-11-01,周杰伦,方文山,0.58,0.55,0.52,82,0.48,0.001,0.04,-7.0,0,250000,55,1,97625000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/0/0b/Jay_Chou_-_November%27s_Chopin_album_cover.jpg
逆鳞,11月的萧邦,November's Chopin,8,2005-11-01,周杰伦,黄俊郎,0.62,0.72,0.4,90,0.22,0.005,0.12,-5.5,1,290000,58,0,103820000,摇滚,yes,https://upload.wikimedia.org/wikipedia/en/0/0b/Jay_Chou_-_November%27s_Chopin_album_cover.jpg
麦芽糖,11月的萧邦,November's Chopin,9,2005-11-01,周杰伦,方文山,0.6,0.58,0.6,84,0.45,0.001,0.04,-6.8,9,260000,52,1,91520000,其他,yes,https://upload.wikimedia.org/wikipedia/en/0/0b/Jay_Chou_-_November%27s_Chopin_album_cover.jpg
珊瑚海,11月的萧邦,November's Chopin,10,2005-11-01,周杰伦,方文山,0.42,0.48,0.35,74,0.65,0.001,0.03,-8.2,6,280000,75,0,140625000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/0/0b/Jay_Chou_-_November%27s_Chopin_album_cover.jpg
飘移,11月的萧邦,November's Chopin,11,2005-11-01,周杰伦,方文山,0.72,0.8,0.55,98,0.12,0.005,0.2,-4.0,3,240000,70,1,129500000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/0/0b/Jay_Chou_-_November%27s_Chopin_album_cover.jpg
一路向北,11月的萧邦,November's Chopin,12,2005-11-01,周杰伦,方文山,0.48,0.62,0.2,76,0.45,0.001,0.04,-7.5,2,320000,80,0,152000000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/0/0b/Jay_Chou_-_November%27s_Chopin_album_cover.jpg
夜的第七章,依然范特西,Still Fantasy,1,2006-09-01,周杰伦,黄俊郎,0.65,0.72,0.3,86,0.2,0.04,0.15,-5.0,9,230000,72,0,133920000,中国风|古典,yes,https://upload.wikimedia.org/wikipedia/en/0/08/Jay_Chou_-_Still_Fantasy_album_cover.jpg
听妈妈的话,依然范特西,Still Fantasy,2,2006-09-01,周杰伦,周杰伦,0.62,0.6,0.58,84,0.42,0.001,0.06,-6.5,0,265000,82,1,156620000,其他,yes,https://upload.wikimedia.org/wikipedia/en/0/08/Jay_Chou_-_Still_Fantasy_album_cover.jpg
千里之外,依然范特西,Still Fantasy,3,2006-09-01,周杰伦,方文山,0.48,0.45,0.35,76,0.7,0.002,0.03,-8.0,5,280000,85,0,163625000,中国风,yes,https://upload.wikimedia.org/wikipedia/en/0/08/Jay_Chou_-_Still_Fantasy_album_cover.jpg
本草纲目,依然范特西,Still Fantasy,4,2006-09-01,周杰伦,方文山,0.78,0.82,0.58,104,0.1,0.005,0.28,-3.5,1,190000,78,1,147420000,中国风|HipHop,yes,https://upload.wikimedia.org/wikipedia/en/0/08/Jay_Chou_-_Still_Fantasy_album_cover.jpg
退后,依然范特西,Still Fantasy,5,2006-09-01,周杰伦,宋健彰,0.42,0.5,0.2,72,0.6,0.001,0.03,-8.2,4,285000,72,0,133920000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/0/08/Jay_Chou_-_Still_Fantasy_album_cover.jpg
红模仿,依然范特西,Still Fantasy,6,2006-09-01,周杰伦,周杰伦,0.72,0.78,0.5,98,0.15,0.01,0.25,-4.2,7,240000,60,1,108000000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/0/08/Jay_Chou_-_Still_Fantasy_album_cover.jpg
心雨,依然范特西,Still Fantasy,7,2006-09-01,周杰伦,方文山,0.52,0.5,0.35,78,0.55,0.001,0.04,-7.5,2,260000,55,1,97625000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/0/08/Jay_Chou_-_Still_Fantasy_album_cover.jpg
白色风车,依然范特西,Still Fantasy,8,2006-09-01,周杰伦,周杰伦,0.48,0.52,0.25,74,0.58,0.001,0.03,-8.0,0,280000,62,0,112220000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/0/08/Jay_Chou_-_Still_Fantasy_album_cover.jpg
迷迭香,依然范特西,Still Fantasy,9,2006-09-01,周杰伦,方文山,0.6,0.55,0.5,85,0.45,0.002,0.04,-7.0,6,245000,58,1,103820000,爵士,yes,https://upload.wikimedia.org/wikipedia/en/0/08/Jay_Chou_-_Still_Fantasy_album_cover.jpg
菊花台,依然范特西,Still Fantasy,10,2006-09-01,周杰伦,方文山,0.35,0.38,0.2,66,0.8,0.002,0.02,-9.0,3,290000,82,0,156620000,中国风,yes,https://upload.wikimedia.org/wikipedia/en/0/08/Jay_Chou_-_Still_Fantasy_album_cover.jpg
牛仔很忙,我很忙,On the Run,1,2007-11-01,周杰伦,黄俊郎,0.75,0.82,0.6,120,0.08,0.003,0.22,-3.5,5,252000,72,1,133920000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/1/16/Jay_Chou_-_On_the_Run_album_cover.jpg
彩虹,我很忙,On the Run,2,2007-11-01,周杰伦,周杰伦,0.55,0.5,0.3,78,0.55,0.001,0.04,-7.2,0,280000,80,0,152000000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/1/16/Jay_Chou_-_On_the_Run_album_cover.jpg
青花瓷,我很忙,On the Run,3,2007-11-01,周杰伦,方文山,0.45,0.4,0.35,76,0.75,0.002,0.02,-8.5,2,260000,88,0,170720000,中国风,yes,https://upload.wikimedia.org/wikipedia/en/1/16/Jay_Chou_-_On_the_Run_album_cover.jpg
阳光宅男,我很忙,On the Run,4,2007-11-01,周杰伦,方文山,0.68,0.72,0.65,92,0.25,0.001,0.08,-5.5,9,245000,75,1,140625000,其他,yes,https://upload.wikimedia.org/wikipedia/en/1/16/Jay_Chou_-_On_the_Run_album_cover.jpg
蒲公英的约定,我很忙,On the Run,5,2007-11-01,周杰伦,方文山,0.48,0.45,0.3,74,0.62,0.001,0.03,-8.0,4,275000,78,0,147420000,情歌|校园,yes,https://upload.wikimedia.org/wikipedia/en/1/16/Jay_Chou_-_On_the_Run_album_cover.jpg
无双,我很忙,On the Run,6,2007-11-01,周杰伦,方文山,0.6,0.78,0.4,88,0.2,0.01,0.15,-5.0,6,290000,52,1,91520000,HipHop|摇滚,yes,https://upload.wikimedia.org/wikipedia/en/1/16/Jay_Chou_-_On_the_Run_album_cover.jpg
我不配,我很忙,On the Run,7,2007-11-01,周杰伦,方文山,0.52,0.52,0.25,78,0.55,0.001,0.04,-7.5,1,285000,75,0,140625000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/1/16/Jay_Chou_-_On_the_Run_album_cover.jpg
扯,我很忙,On the Run,8,2007-11-01,周杰伦,方文山,0.7,0.75,0.5,96,0.18,0.005,0.18,-4.8,3,255000,50,1,87500000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/1/16/Jay_Chou_-_On_the_Run_album_cover.jpg
甜甜的,我很忙,On the Run,9,2007-11-01,周杰伦,方文山,0.62,0.6,0.65,84,0.42,0.001,0.04,-6.5,0,260000,68,1,125120000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/1/16/Jay_Chou_-_On_the_Run_album_cover.jpg
最长的电影,我很忙,On the Run,10,2007-11-01,周杰伦,周杰伦,0.42,0.55,0.15,68,0.6,0.001,0.03,-8.5,5,295000,72,0,133920000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/1/16/Jay_Chou_-_On_the_Run_album_cover.jpg
龙战骑士,魔杰座,Capricorn,1,2008-10-14,周杰伦,方文山,0.72,0.82,0.5,100,0.1,0.015,0.2,-4.0,1,280000,60,1,108000000,HipHop|摇滚,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
给我一首歌的时间,魔杰座,Capricorn,2,2008-10-14,周杰伦,周杰伦,0.55,0.58,0.4,80,0.48,0.001,0.04,-7.0,4,280000,78,1,147420000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
蛇舞,魔杰座,Capricorn,3,2008-10-14,周杰伦,黄俊郎,0.68,0.72,0.55,94,0.15,0.02,0.22,-4.5,7,255000,52,1,91520000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
花海,魔杰座,Capricorn,4,2008-10-14,周杰伦,古小力/黄凌嘉,0.5,0.52,0.45,78,0.58,0.001,0.03,-7.5,0,290000,72,1,133920000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
魔术先生,魔杰座,Capricorn,5,2008-10-14,周杰伦,方文山,0.65,0.62,0.55,86,0.35,0.002,0.08,-6.0,3,245000,55,1,97625000,其他,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
说好的幸福呢,魔杰座,Capricorn,6,2008-10-14,周杰伦,方文山,0.42,0.45,0.15,72,0.65,0.001,0.03,-8.5,2,280000,82,0,156620000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
兰亭序,魔杰座,Capricorn,7,2008-10-14,周杰伦,方文山,0.45,0.4,0.3,74,0.75,0.002,0.02,-8.8,6,270000,78,0,147420000,中国风,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
流浪诗人,魔杰座,Capricorn,8,2008-10-14,周杰伦,方文山,0.6,0.55,0.5,82,0.45,0.005,0.06,-7.0,8,260000,48,1,83520000,其他,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
时光机,魔杰座,Capricorn,9,2008-10-14,周杰伦,方文山,0.52,0.5,0.45,78,0.55,0.001,0.04,-7.2,0,295000,55,1,97625000,情歌|校园,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
乔克叔叔,魔杰座,Capricorn,10,2008-10-14,周杰伦,黄俊郎,0.65,0.7,0.5,90,0.25,0.01,0.12,-5.5,5,260000,50,1,87500000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
稻香,魔杰座,Capricorn,11,2008-10-14,周杰伦,周杰伦,0.58,0.55,0.65,82,0.5,0.001,0.04,-7.0,0,245000,85,1,163625000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
跨时代,跨时代,The Era,1,2010-05-18,周杰伦,黄俊郎,0.68,0.78,0.45,96,0.15,0.02,0.2,-4.5,7,200000,55,1,97625000,HipHop|摇滚|电子,yes,https://upload.wikimedia.org/wikipedia/en/0/0c/Jay_Chou_-_The_Era_album_cover.jpg
